2.3750,-3.2476
2.4108,-3.2311
2.4464,-3.2144
2.4819,-3.1974
2.5171,-3.1802
2.5522,-3.1627
2.5870,-3.1450
2.6217,-3.1271
2.6562,-3.1089
2.6904,-3.0905
2.7245,-3.0718
2.7583,-3.0529
2.7920,-3.0338
2.8254,-3.0145
2.8586,-2.9949
2.8916,-2.9751
2.9244,-2.9550
2.9569,-2.9348
2.9893,-2.9143
3.0214,-2.8936
3.0532,-2.8727
3.0849,-2.8515
3.1163,-2.8302
3.1474,-2.8086
3.1784,-2.7868
3.2091,-2.7648
3.2395,-2.7426
3.2697,-2.7202
3.2996,-2.6975
3.3293,-2.6747
3.3588,-2.6517
3.3879,-2.6284
3.4169,-2.6050
3.4455,-2.5813
3.4739,-2.5575
3.5021,-2.5335
3.5299,-2.5092
3.5575,-2.4848
3.5849,-2.4602
3.6119,-2.4354
3.6387,-2.4105
3.6652,-2.3853
3.6914,-2.3600
3.7174,-2.3344
3.7431,-2.3087
3.7684,-2.2829
3.7935,-2.2568
3.8183,-2.2306
3.8428,-2.2042
3.8670,-2.1776
3.8910,-2.1509
3.9146,-2.1240
3.9379,-2.0970
3.9610,-2.0698
3.9837,-2.0424
4.0061,-2.0149
4.0282,-1.9872
4.0500,-1.9594
4.0715,-1.9314
4.0927,-1.9033
4.1136,-1.8750
4.1342,-1.8466
4.1544,-1.8180
4.1744,-1.7893
4.1940,-1.7605
4.2133,-1.7316
4.2323,-1.7025
4.2509,-1.6732
4.2693,-1.6439
4.2873,-1.6144
4.3050,-1.5848
4.3223,-1.5551
4.3393,-1.5253
4.3560,-1.4953
4.3724,-1.4652
4.3884,-1.4351
4.4041,-1.4048
4.4195,-1.3744
4.4345,-1.3439
4.4492,-1.3133
4.4635,-1.2826
4.4775,-1.2518
4.4912,-1.2209
4.5045,-1.1899
4.5175,-1.1588
4.5302,-1.1276
4.5424,-1.0964
4.5544,-1.0651
4.5660,-1.0336
4.5772,-1.0021
4.5881,-0.9706
4.5987,-0.9389
4.6089,-0.9072
4.6188,-0.8754
4.6283,-0.8436
4.6374,-0.8116
4.6462,-0.7797
4.6546,-0.7476
4.6627,-0.7155
4.6705,-0.6834
4.6778,-0.6512
4.6849,-0.6189
4.6915,-0.5866
4.6978,-0.5543
4.7038,-0.5219
4.7094,-0.4895
4.7146,-0.4570
4.7195,-0.4245
4.7240,-0.3920
4.7281,-0.3594
4.7319,-0.3268
4.7354,-0.2942
4.7384,-0.2616
4.7411,-0.2289
4.7435,-0.1963
4.7455,-0.1636
4.7471,-0.1309
4.7484,-0.0982
4.7493,-0.0654
4.7498,-0.0327
4.7500,0.0000
4.7498,0.0327
4.7493,0.0654
4.7484,0.0982
4.7471,0.1309
4.7455,0.1636
4.7435,0.1963
4.7411,0.2289
4.7384,0.2616
4.7354,0.2942
4.7319,0.3268
4.7281,0.3594
4.7240,0.3920
4.7195,0.4245
4.7146,0.4570
4.7094,0.4895
4.7038,0.5219
4.6978,0.5543
4.6915,0.5866
4.6849,0.6189
4.6778,0.6512
4.6705,0.6834
4.6627,0.7155
4.6546,0.7476
4.6462,0.7797
4.6374,0.8116
4.6283,0.8436
4.6188,0.8754
4.6089,0.9072
4.5987,0.9389
4.5881,0.9706
4.5772,1.0021
4.5660,1.0336
4.5544,1.0651
4.5424,1.0964
4.5302,1.1276
4.5175,1.1588
4.5045,1.1899
4.4912,1.2209
4.4775,1.2518
4.4635,1.2826
4.4492,1.3133
4.4345,1.3439
4.4195,1.3744
4.4041,1.4048
4.3884,1.4351
4.3724,1.4652
4.3560,1.4953
4.3393,1.5253
4.3223,1.5551
4.3050,1.5848
4.2873,1.6144
4.2693,1.6439
4.2509,1.6732
4.2323,1.7025
4.2133,1.7316
4.1940,1.7605
4.1744,1.7893
4.1544,1.8180
4.1342,1.8466
4.1136,1.8750
4.0927,1.9033
4.0715,1.9314
4.0500,1.9594
4.0282,1.9872
4.0061,2.0149
3.9837,2.0424
3.9610,2.0698
3.9379,2.0970
3.9146,2.1240
3.8910,2.1509
3.8670,2.1776
3.8428,2.2042
3.8183,2.2306
3.7935,2.2568
3.7684,2.2829
3.7431,2.3087
3.7174,2.3344
3.6914,2.3600
3.6652,2.3853
3.6387,2.4105
3.6119,2.4354
3.5849,2.4602
3.5575,2.4848
3.5299,2.5092
3.5021,2.5335
3.4739,2.5575
3.4455,2.5813
3.4169,2.6050
3.3879,2.6284
3.3588,2.6517
3.3293,2.6747
3.2996,2.6975
3.2697,2.7202
3.2395,2.7426
3.2091,2.7648
3.1784,2.7868
3.1474,2.8086
3.1163,2.8302
3.0849,2.8515
3.0532,2.8727
3.0214,2.8936
2.9893,2.9143
2.9569,2.9348
2.9244,2.9550
2.8916,2.9751
2.8586,2.9949
2.8254,3.0145
2.7920,3.0338
2.7583,3.0529
2.7245,3.0718
2.6904,3.0905
2.6562,3.1089
2.6217,3.1271
2.5870,3.1450
2.5522,3.1627
2.5171,3.1802
2.4819,3.1974
2.4464,3.2144
2.4108,3.2311
2.3750,3.2476
2.3390,3.2638
2.3028,3.2798
2.2665,3.2956
2.2300,3.3111
2.1933,3.3263
2.1565,3.3413
2.1194,3.3560
2.0823,3.3705
2.0449,3.3847
2.0074,3.3987
1.9698,3.4124
1.9320,3.4258
1.8941,3.4390
1.8560,3.4519
1.8177,3.4645
1.7794,3.4769
1.7409,3.4891
1.7022,3.5009
1.6635,3.5125
1.6246,3.5238
1.5856,3.5349
1.5464,3.5457
1.5072,3.5562
1.4678,3.5665
1.4284,3.5764
1.3888,3.5861
1.3491,3.5956
1.3093,3.6047
1.2694,3.6136
1.2294,3.6222
1.1893,3.6306
1.1491,3.6386
1.1089,3.6464
1.0685,3.6539
1.0281,3.6611
0.9876,3.6681
0.9470,3.6747
0.9063,3.6811
0.8656,3.6872
0.8248,3.6930
0.7840,3.6986
0.7431,3.7038
0.7021,3.7088
0.6611,3.7135
0.6200,3.7179
0.5789,3.7220
0.5377,3.7259
0.4965,3.7295
0.4553,3.7327
0.4140,3.7357
0.3727,3.7384
0.3313,3.7409
0.2900,3.7430
0.2486,3.7449
0.2072,3.7464
0.1658,3.7477
0.1243,3.7487
0.0829,3.7494
0.0415,3.7499
0.0000,3.7500
-0.0415,3.7499
-0.0829,3.7494
-0.1243,3.7487
-0.1658,3.7477
-0.2072,3.7464
-0.2486,3.7449
-0.2900,3.7430
-0.3313,3.7409
-0.3727,3.7384
-0.4140,3.7357
-0.4553,3.7327
-0.4965,3.7295
-0.5377,3.7259
-0.5789,3.7220
-0.6200,3.7179
-0.6611,3.7135
-0.7021,3.7088
-0.7431,3.7038
-0.7840,3.6986
-0.8248,3.6930
-0.8656,3.6872
-0.9063,3.6811
-0.9470,3.6747
-0.9876,3.6681
-1.0281,3.6611
-1.0685,3.6539
-1.1089,3.6464
-1.1491,3.6386
-1.1893,3.6306
-1.2294,3.6222
-1.2694,3.6136
-1.3093,3.6047
-1.3491,3.5956
-1.3888,3.5861
-1.4284,3.5764
-1.4678,3.5665
-1.5072,3.5562
-1.5464,3.5457
-1.5856,3.5349
-1.6246,3.5238
-1.6635,3.5125
-1.7022,3.5009
-1.7409,3.4891
-1.7794,3.4769
-1.8177,3.4645
-1.8560,3.4519
-1.8941,3.4390
-1.9320,3.4258
-1.9698,3.4124
-2.0074,3.3987
-2.0449,3.3847
-2.0823,3.3705
-2.1194,3.3560
-2.1565,3.3413
-2.1933,3.3263
-2.2300,3.3111
-2.2665,3.2956
-2.3028,3.2798
-2.3390,3.2638
-2.3750,3.2476
-2.4108,3.2311
-2.4464,3.2144
-2.4819,3.1974
-2.5171,3.1802
-2.5522,3.1627
-2.5870,3.1450
-2.6217,3.1271
-2.6562,3.1089
-2.6904,3.0905
-2.7245,3.0718
-2.7583,3.0529
-2.7920,3.0338
-2.8254,3.0145
-2.8586,2.9949
-2.8916,2.9751
-2.9244,2.9550
-2.9569,2.9348
-2.9893,2.9143
-3.0214,2.8936
-3.0532,2.8727
-3.0849,2.8515
-3.1163,2.8302
-3.1474,2.8086
-3.1784,2.7868
-3.2091,2.7648
-3.2395,2.7426
-3.2697,2.7202
-3.2996,2.6975
-3.3293,2.6747
-3.3588,2.6517
-3.3879,2.6284
-3.4169,2.6050
-3.4455,2.5813
-3.4739,2.5575
-3.5021,2.5335
-3.5299,2.5092
-3.5575,2.4848
-3.5849,2.4602
-3.6119,2.4354
-3.6387,2.4105
-3.6652,2.3853
-3.6914,2.3600
-3.7174,2.3344
-3.7431,2.3087
-3.7684,2.2829
-3.7935,2.2568
-3.8183,2.2306
-3.8428,2.2042
-3.8670,2.1776
-3.8910,2.1509
-3.9146,2.1240
-3.9379,2.0970
-3.9610,2.0698
-3.9837,2.0424
-4.0061,2.0149
-4.0282,1.9872
-4.0500,1.9594
-4.0715,1.9314
-4.0927,1.9033
-4.1136,1.8750
-4.1342,1.8466
-4.1544,1.8180
-4.1744,1.7893
-4.1940,1.7605
-4.2133,1.7316
-4.2323,1.7025
-4.2509,1.6732
-4.2693,1.6439
-4.2873,1.6144
-4.3050,1.5848
-4.3223,1.5551
-4.3393,1.5253
-4.3560,1.4953
-4.3724,1.4652
-4.3884,1.4351
-4.4041,1.4048
-4.4195,1.3744
-4.4345,1.3439
-4.4492,1.3133
-4.4635,1.2826
-4.4775,1.2518
-4.4912,1.2209
-4.5045,1.1899
-4.5175,1.1588
-4.5302,1.1276
-4.5424,1.0964
-4.5544,1.0651
-4.5660,1.0336
-4.5772,1.0021
-4.5881,0.9706
-4.5987,0.9389
-4.6089,0.9072
-4.6188,0.8754
-4.6283,0.8436
-4.6374,0.8116
-4.6462,0.7797
-4.6546,0.7476
-4.6627,0.7155
-4.6705,0.6834
-4.6778,0.6512
-4.6849,0.6189
-4.6915,0.5866
-4.6978,0.5543
-4.7038,0.5219
-4.7094,0.4895
-4.7146,0.4570
-4.7195,0.4245
-4.7240,0.3920
-4.7281,0.3594
-4.7319,0.3268
-4.7354,0.2942
-4.7384,0.2616
-4.7411,0.2289
-4.7435,0.1963
-4.7455,0.1636
-4.7471,0.1309
-4.7484,0.0982
-4.7493,0.0654
-4.7498,0.0327
